order_id,sale_date,customer_id,employee_id,product_id,quantity,discount,sale_amount,actual_sale_amount,profit,payment_method,employee_performance,order_branch
SALE00001,05-07-2019,CUST1052,EMP003,PROD009,1,0.15,90,76.5,34.5,Card,2,Lucknow
SALE00003,05-10-2019,CUST0868,EMP049,PROD016,3,0.15,393,334.05,70.05,UPI,2,Ahmedabad
SALE00004,08-04-2022,CUST0956,EMP039,PROD025,4,0,424,424,132,Cash,5,Ahmedabad
SALE00005,09-03-2023,CUST1357,EMP048,PROD019,3,0.1,264,237.6,102.6,Cash,4,Pune
SALE00006,12-04-2021,CUST0131,EMP044,PROD011,3,0.1,315,283.5,37.5,UPI,3,Jaipur
SALE00007,23-09-2023,CUST1344,EMP084,PROD008,3,0.05,366,347.7,119.7,Card,5,Delhi
SALE00008,26-09-2019,CUST1568,EMP031,PROD017,1,0.15,90,76.5,29.5,UPI,2,Bangalore
SALE00009,29-10-2019,CUST1478,EMP004,PROD019,4,0.1,352,316.8,136.8,UPI,4,Kolkata
SALE00010,11-02-2022,CUST0829,EMP050,PROD010,1,0.05,128,121.6,44.6,UPI,2,Ahmedabad
SALE00011,20-06-2021,CUST1406,EMP069,PROD012,4,0.1,292,262.8,126.8,UPI,2,Lucknow
SALE00012,16-09-2018,CUST1722,EMP085,PROD019,2,0.1,176,158.4,68.4,Cash,4,Mumbai
SALE00013,21-04-2022,CUST0263,EMP034,PROD015,2,0.1,134,120.6,30.6,Cash,2,Hyderabad
SALE00014,10-11-2020,CUST0728,EMP029,PROD023,3,0.15,342,290.7,170.7,UPI,3,Pune
SALE00015,27-05-2023,CUST0534,EMP075,PROD002,3,0.15,300,255,156,Cash,4,Chennai
SALE00016,21-12-2018,CUST0110,EMP082,PROD004,1,0.15,152,129.2,47.2,Card,5,Mumbai
SALE00017,15-05-2023,CUST0246,EMP088,PROD005,4,0.1,480,432,244,Wallet,1,Pune
SALE00018,12-08-2022,CUST1784,EMP020,PROD019,2,0.05,176,167.2,77.2,UPI,4,Ahmedabad
SALE00019,04-06-2021,CUST1167,EMP059,PROD022,2,0.1,138,124.2,28.2,Card,1,Jaipur
